,Product Name,Prices,Description,Link
10,"Samsung Galaxy Z Fold4 5G (Phantom Black, 256 GB)","₹1,37,845",12 GB RAM | 256 GB ROM19.3 cm (7.6 inch) Full HD+ Display50MP + 12MP + 10MP | 10MP Front Camera4400 mAh Lithium Ion BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-z-fold4-5g-phantom-black-256-gb/p/itm736b53ae104d9?pid=MOBGHFGDBHGS7KMQ&lid=LSTMOBGHFGDBHGS7KMQ8IP5KI&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBGHFGDBHGS7KMQ.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
11,"Samsung Galaxy S25 Ultra 5G (Titanium Black, 512 GB)","₹1,29,999",12 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Quad HD+ Display200MP + 50MP + 50MP + 10MP | 12MP Front Camera5000 mAh Battery8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s25-ultra-5g-titanium-black-512-gb/p/itmc5f14b041aa5b?pid=MOBH8K8UZPUKTTXK&lid=LSTMOBH8K8UZPUKTTXKDDLTOJ&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH8K8UZPUKTTXK.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
12,"Apple iPhone 16 Pro Max (Black Titanium, 512 GB)","₹1,57,900","512 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-max-black-titanium-512-gb/p/itmb63439b8f1383?pid=MOBH4DQFQR3BH2VT&lid=LSTMOBH4DQFQR3BH2VTHEFSV3&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4DQFQR3BH2VT.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
13,"Apple iPhone 16 Pro (Black Titanium, 1 TB)","₹1,62,900","1 TB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-black-titanium-1-tb/p/itmd269d014ed046?pid=MOBH4DQFNDMZFZHE&lid=LSTMOBH4DQFNDMZFZHE7IQSMK&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4DQFNDMZFZHE.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
14,"Samsung Galaxy Z Fold6 5G (Pink, 256 GB)","₹1,64,999",12 GB RAM | 256 GB ROM19.3 cm (7.6 inch) QXGA+ Display50MP + 12MP + 10MP | 10MP Front Camera4400 mAh Lithium ion BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-z-fold6-5g-pink-256-gb/p/itmc5b0d65ae951b?pid=MOBH2HG9BAR2XV3Z&lid=LSTMOBH2HG9BAR2XV3ZQS8ZP2&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH2HG9BAR2XV3Z.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
15,"Apple iPhone 16 Pro Max (Desert Titanium, 512 GB)","₹1,57,900","512 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-max-desert-titanium-512-gb/p/itmd70bb3bf33040?pid=MOBH4DQFJATHYAGR&lid=LSTMOBH4DQFJATHYAGRLPDQVL&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4DQFJATHYAGR.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
16,"Apple iPhone 16 Pro Max (Natural Titanium, 256 GB)","₹1,35,900","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-max-natural-titanium-256-gb/p/itm05ad8e674782a?pid=MOBH4DQFRST2BQQ8&lid=LSTMOBH4DQFRST2BQQ8UII8UK&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4DQFRST2BQQ8.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
17,"Samsung Galaxy Z Fold6 5G (Pink, 512 GB)","₹1,76,999",12 GB RAM | 512 GB ROM19.3 cm (7.6 inch) QXGA+ Display50MP + 12MP + 10MP | 10MP Front Camera4400 mAh Lithium ion BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-z-fold6-5g-pink-512-gb/p/itma457116f336b7?pid=MOBH2HG9YXPZUGEP&lid=LSTMOBH2HG9YXPZUGEPZ1IZFV&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH2HG9YXPZUGEP.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
18,"Samsung Galaxy Z Fold6 5G (Navy, 256 GB)","₹1,64,999",12 GB RAM | 256 GB ROM19.3 cm (7.6 inch) QXGA+ Display50MP + 12MP + 10MP | 10MP Front Camera4400 mAh Lithium ion BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-z-fold6-5g-navy-256-gb/p/itm0be517e768f41?pid=MOBH2HG9BPHRG4ZZ&lid=LSTMOBH2HG9BPHRG4ZZO2IEY3&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH2HG9BPHRG4ZZ.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
19,"Samsung Galaxy S24 Ultra 5G (Titanium Violet, 512 GB)","₹1,29,999",12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-violet-512-gb/p/itmb65a445764f10?pid=MOBGX2F3PHGQHXSB&lid=LSTMOBGX2F3PHGQHXSBOO4CVF&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBGX2F3PHGQHXSB.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
